Log start on,2022-12-01 11:31:46
Feature,Accelerometer
Nodes,PROTEUS @262F5E, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
01/12/2022 11:31:53.834,7297,PROTEUS @262F5E,9686,D6FF0B00E803,-42,11,1000,
01/12/2022 11:31:53.883,7346,PROTEUS @262F5E,9692,D7FF0A00E903,-41,10,1001,
01/12/2022 11:31:53.932,7395,PROTEUS @262F5E,9698,D6FF0A00ED03,-42,10,1005,
01/12/2022 11:31:53.980,7443,PROTEUS @262F5E,9705,D1FF0600EE03,-47,6,1006,
01/12/2022 11:31:54.029,7492,PROTEUS @262F5E,9711,CDFF0D00F203,-51,13,1010,
01/12/2022 11:31:54.078,7541,PROTEUS @262F5E,9717,D8FF0600ED03,-40,6,1005,
01/12/2022 11:31:54.127,7590,PROTEUS @262F5E,9723,D0FF0A00E903,-48,10,1001,
01/12/2022 11:31:54.176,7639,PROTEUS @262F5E,9730,D5FF0D00EB03,-43,13,1003,
01/12/2022 11:31:54.224,7687,PROTEUS @262F5E,9736,D2FF0B00EB03,-46,11,1003,
01/12/2022 11:31:54.273,7736,PROTEUS @262F5E,9742,D4FF0B00EC03,-44,11,1004,
01/12/2022 11:31:54.320,7783,PROTEUS @262F5E,9748,D9FF0900E903,-39,9,1001,
01/12/2022 11:31:54.370,7833,PROTEUS @262F5E,9755,D6FF0E00E903,-42,14,1001,
01/12/2022 11:31:54.419,7882,PROTEUS @262F5E,9761,D6FF0F00EE03,-42,15,1006,
01/12/2022 11:31:54.468,7931,PROTEUS @262F5E,9767,CFFF0C00F103,-49,12,1009,
01/12/2022 11:31:54.517,7980,PROTEUS @262F5E,9773,D7FF0D00EC03,-41,13,1004,
01/12/2022 11:31:54.566,8029,PROTEUS @262F5E,9780,D2FF1000E903,-46,16,1001,
01/12/2022 11:31:54.614,8077,PROTEUS @262F5E,9786,D6FF0F00EB03,-42,15,1003,
